Sample_ID	Joerg_ID	Originalbezeichnung	tubeID
MG87	MG 87	MG 87	MG 87
MG88	MG 88	MG 88	MG 88
MG89	MG 89	MG 89	MG 89
MG90	MG 90	MG 90	MG 90
MG91	MG 91	MG 91	MG 91
MG92	MG 92	MG 92	MG 92
MG93	MG 93	MG 93	MG 93
MG94	MG 94	MG 94	MG 94
MG95	MG 95	MG 95	MG 95
MG96	MG 96	MG 96	MG 96
MG97	MG 97	MG 97	MG 97
MG98	MG 98	MG 98	MG 98
NA	MG 80	MG 80	NA
NA	MG 81	MG 81	NA
P6	P 6	P 6	P 6
P9	P 9	P 9	P 9
P1	P1	P1	P1
P10	P10	P10	P10
P11	P11	P11	P11
P12	P12	P12	P12
P13	P13	P13	P13
P14	P14	P14	P14
P15	P15	P15	P15
P17	P17	P17	P17
P18	P18	P18	P18
P19	P19	P19	P19
P2	P2	P2	P2
P20	P20	P20	P20
P21	P21	P21	P21
P22	P22	P22	P22
P23	P23	P23	P23
P24	P24	P24	P24
P25	P25	P25	P25
P26	P26	P26	P26
P27	P27	P27	P27
P28	P28	P28	P28
P29	P29	P29	P29
P3	P3	P3	P3
P30	P30	P30	P30
P31	P31	P31	P31
P32	P32	P32	P32
P37	P37	P37	P37
P4	P4	P4	P4
P40	P40	P40	P40
P41	P41	P41	P41
P42	P42	P42	P42
P43	P43	P43	P43
P44	P44	P44	P44
P45	P45	P45	P45
P46	P46	P46	P46
P47	P47	P47	P47
P48	P48	P48	P48
P49	P49	P49	P49
P5	P5	P5	P5
P50	P50	P50	P50
P51	P51	P51	P51
P52	P52	P52	P52
P53	P53	P53	P53
P54	P54	P54	P54
P7	P7	P7	P7
P8	P8	P8	P8
Micro02	Micro 02	TM 02-2006	Micro 02
Micro04	Micro 04	TM 04-2006	Micro 04
Micro06	Micro 06	TM 06-2006	Micro 06
Micro12	Micro 12	TM 12-2006	Micro 12
Micro13	Micro 13	TM 13-2006	Micro 13
Micro14	Micro 14	TM 14-2006	Micro 14
Micro17	Micro 17	TM 17-2006	Micro 17
Micro19	Micro 19	TM 19-2006	Micro 19
Micro24	Micro 24	TM 24-2006	Micro 24
Micro25	Micro 25	TM 25-2006	Micro 25
Micro27	Micro 27	TM 27-2006	Micro 27
Micro31	Micro 31	TM 31-2006	Micro 31
Micro33	Micro 33	TM 33-2006	Micro 33
Micro36	Micro 36	TM 36-2006	Micro 36
Micro38	Micro 38	TM 38-2006	Micro 38
Micro43	Micro 43	TM 43-2006	Micro 43
Micro44	Micro 44	TM 44-2006	Micro 44
Micro46	Micro 46	TM 46-2006	Micro 46
Micro49	Micro 49	TM 49-2006	Micro 49
Micro58	Micro 58	TM 58-2006	Micro 58
Micro59	Micro 59	TM 59-2006	Micro 59
Micro60	Micro 60	TM 60-2006	Micro 60
Micro70	Micro 70	TM 70-2006	Micro 70
TM41	TM 41	41	TM 41
TM42	TM 42	42	TM 42
TM43	TM 43	43	TM 43
TM44	TM 44	44	TM 44
TM46	TM 46	46	TM 46
TM47	TM 47	47	TM 47
TM49	TM 49	49	TM 49
TM50	TM 50	50	TM 50
TM51	TM 51	51	TM 51
TM52	TM 52	52	TM 52
TM53	TM 53	53	TM 53
TM48	TM 48	48	TM 48
00072867A8	00072867A8	1	72867A8
00074C3D9E	00074C3D9E	2	74C3D9E
00074C3DA4	00074C3DA4	3	74C3DA4
00074C57EF	00074C57EF	4	74C57EF
00074C6042	00074C6042	5	74C6042
0074C6AB4	0074C6AB4	7	74C6AB4
00074C7637	00074C7637	6	74C7637
00074C7E45	00074C7E45	9	74C7E45
00074CA0F6	00074CA0F6	10	74CA0F6
00074F0135	00074F0135	11	74F0135
0007GC4BAE	0007GC4BAE	12	7GC4BAE
