Lab_ID	species_2018	Site	Year	RADseq_done	RADseq_pass	RADseq_rescue	DnaConc_Duke
MV 13	Mr	Mahamavo	2008	0	NA	NA	NA
MV 14	Mr	Mahamavo	2008	0	NA	NA	NA
MV 15	Mr	Mahamavo	2008	0	NA	NA	NA
MV 16	Mr	Mahamavo	2008	0	NA	NA	NA
MV 17	Mr	Mahamavo	2008	0	NA	NA	NA
MV 18	Mr	Mahamavo	2008	0	NA	NA	NA
MV 19	Mr	Mahamavo	2008	0	NA	NA	NA
P 6	murinus	Mahamavo	2008	0	NA	NA	NA
P 9	murinus	Mahamavo	2008	0	NA	NA	NA
P1	murinus	Mahamavo	2008	0	NA	NA	NA
P10	murinus	Mahamavo	2008	0	NA	NA	NA
P11	murinus	Mahamavo	2008	0	NA	NA	NA
P12	murinus	Mahamavo	2008	0	NA	NA	NA
P13	murinus	Mahamavo	2008	0	NA	NA	NA
P14	murinus	Mahamavo	2008	0	NA	NA	NA
P15	murinus	Mahamavo	2008	0	NA	NA	NA
P17	murinus	Mahamavo	2008	0	NA	NA	NA
P18	murinus	Mahamavo	2008	0	NA	NA	NA
P19	murinus	Mahamavo	2008	0	NA	NA	NA
P2	murinus	Petriky	1999	0	NA	NA	NA
P20	murinus	Petriky	1999	0	NA	NA	NA
P21	murinus	Petriky	1999	0	NA	NA	NA
P22	murinus	Petriky	1999	0	NA	NA	NA
P23	murinus	Petriky	1999	0	NA	NA	NA
P24	murinus	Petriky	1999	0	NA	NA	NA
P25	murinus	Petriky	1999	0	NA	NA	NA
P26	murinus	Petriky	1999	0	NA	NA	NA
P27	murinus	Petriky	1999	0	NA	NA	NA
P28	murinus	Petriky	1999	0	NA	NA	NA
P29	murinus	Petriky	1999	0	NA	NA	NA
P3	murinus	Petriky	1999	0	NA	NA	NA
P30	murinus	Petriky	1999	0	NA	NA	NA
P31	murinus	Petriky	1999	0	NA	NA	NA
P32	murinus	Petriky	1999	0	NA	NA	NA
P37	murinus	Petriky	1999	0	NA	NA	NA
P4	murinus	Petriky	1999	0	NA	NA	NA
P40	murinus	Petriky	1999	0	NA	NA	NA
P41	murinus	Petriky	1999	0	NA	NA	NA
P42	murinus	Petriky	1999	0	NA	NA	NA
P43	murinus	Petriky	1999	0	NA	NA	NA
P44	murinus	Petriky	1999	0	NA	NA	NA
P45	murinus	Petriky	1999	0	NA	NA	NA
P46	murinus	Petriky	1999	0	NA	NA	NA
P47	murinus	Petriky	1999	0	NA	NA	NA
P48	murinus	Petriky	1999	0	NA	NA	NA
P49	murinus	Petriky	1999	0	NA	NA	NA
P5	murinus	Petriky	1999	0	NA	NA	NA
P50	murinus	Petriky	1999	0	NA	NA	NA
P51	murinus	Petriky	1999	0	NA	NA	NA
P52	murinus	Petriky	1999	0	NA	NA	NA
P53	murinus	Petriky	1999	0	NA	NA	NA
P54	murinus	Petriky	1999	0	NA	NA	NA
P7	murinus	Petriky	1999	0	NA	NA	NA
P8	murinus	Petriky	1999	0	NA	NA	NA
TM 41	Mg	Petriky	1999	1	0	1	9.9
